"","State","State_Abbr","Office","District","Special","Dem_Name","Rep_Name","Dem_Gender","Rep_Gender","Dem_Incumbent","Rep_Incumbent","Rep_Election_Denier","Dem_Fundraised","Rep_Fundraised","Open.Num","Dem_Man_Rep_Man","Dem_Woman_Rep_Man","Dem_Man_Rep_Woman","Dem_Woman_Rep_Woman","Fundraising_Prop","Dem_Margin_2020","District_DEM_Win","Dem_Margin_2022","Dem_Margin_Shift","Illegal.Status","Hostile.Status","Other.Status","Abortion_Salience","Share_Bachelors","Share_Above_75k","Share_White","Share_Female","Share_Age_15_to_44"
"1","Texas","TX","Representative","1",0,"Jrmar ""JJ"" Jefferson","Nathaniel Moran",1,1,0,0,0,28794,78080,1,1,0,0,0,0.269420064749144,-45.8725865410564,0,-56.2,-10.3,1,0,0,11,22.1,35.4460873009925,66.6,50.5,38.5116722739987
"2","Texas","TX","Representative","2",0,"Robin Fulford","Dan Crenshaw",0,1,0,1,0,95686,2416874,0,0,1,0,0,0.0380830706530391,-22.7659925686219,0,-31.8,-9,1,0,0,11,37.7,57.1759320161014,54.2,50.9,41.0741247055028
"3","Texas","TX","Representative","3",0,"Sandeep Srivastava","Keith Self",1,1,0,0,1,68334,269160,1,1,0,0,0,0.202474710661523,-14.3760816867848,0,-23.6,-9.2,1,0,0,11,48,62.7150146034115,60.2,50.5,39.4722448736053
"4","Texas","TX","Representative","4",0,"Iro Omere","Pat Fallon",0,1,0,1,1,14200,113826,0,0,1,0,0,0.110914970396638,-25.9053045892726,0,-35.8,-9.8,1,0,0,11,45.8,54.3412387378288,64.1,50.7,40.4991608343704
"5","Texas","TX","Representative","5",0,"Tartisha Hill","Lance Gooden",0,1,0,1,1,3000,217782,0,0,1,0,0,0.0135880642443677,-22.4247808377613,0,-30.1,-7.7,1,0,0,11,23.9,43.419109420452,51.4,51.4,39.486832732866
"6","Texas","TX","Representative","7",0,"Lizzie Fletcher","Johnny Teague",0,1,1,0,0,1119722,81275,0,0,1,0,0,0.932327058269088,29.7294011207307,1,27.6,-2.1,1,0,0,11,50.2,46.0436877390773,31.1,51.1,47.6040437356896
"7","Texas","TX","Representative","8",0,"Laura Jones","Morgan Luttrell",0,1,0,0,1,11580,1334823,1,0,1,0,0,0.00860069384872137,-27.1829994239263,0,-37.6,-10.4,1,0,0,11,33,54.4746598030111,50.1,47.7,40.0267672406969
"8","Texas","TX","Representative","9",0,"Al Green","Jimmy I. Leon",1,1,1,0,0,106053,0,0,1,0,0,0,1,53.4058374655755,1,53.4,0,1,0,0,11,33,34.9629728327186,18.7,52.5,42.4333489527328
"9","Texas","TX","Representative","10",0,"Linda Nuno","Michael McCaul",0,1,0,1,0,0,970436,0,0,1,0,0,0,-18.7757537282287,0,-29,-10.2,1,0,0,11,40.3,49.3498503956825,64.6,49.4,42.2818592908453
"10","Texas","TX","Representative","12",0,"Trey J. Hunt","Kay Granger",1,0,0,1,0,14590,517962,0,0,0,1,0,0.0273963857050579,-18.126636332032,0,-28.6,-10.4,1,0,0,11,35,49.5535607502503,59.5,51.7,42.5383629755171
